"Song Title","Artist","Genre","Profanity Lines","Sentiment Annotation"
"pleasepleaseplease","sabrinacarpenter","pop","heartbreak is one thing my egos another 
i beg you dont embarrass me MOTHERFUCKER oh 
please please please ah ",""
"moneyfornothing","direstraits","pop","yeah buddy thats his own hair 
that little FAGGOT got his own jet airplane 
that little faggot hes a millionaire ",""
"vampire","oliviarodrigo","pop","bloodsucker famefucker 
bleeding me dry like a GODDAMN vampire
",""
"stay","kidlaroi","pop","oh oohwhoa oh oohwhoa oohwhoa 
oh ill be FUCKED up if you cant be right here 
i do the same thing i told you that i never would ",""
"moneyfornothing","direstraits","pop","that little faggot got his own jet airplane 
that little FAGGOT hes a millionaire 
we got to install microwave ovens ",""
"cantgetenough","jenniferlopez","pop","you know i cant get enough 
you love that SHIT 
you know i cant get enough ",""
"cantgetenough","jenniferlopez","pop","you know i cant get enough 
you love that SHIT 
you know i cant get enough ",""
"uptownfunk","markronson","pop","bitch say my name you know who i am 
im too hot hot DAMN 
and my band bout that money ",""
"daylight","davidkushner","pop","tryna wash away all the blood ive spilt 
this LUST is a burden that we both share 
two sinners cant atone from a lone prayer ",""
"feather","sabrinacarpenter","pop","your signals are mixed 
you act like a BITCH 
you fit every stereotype send a pic ",""
"feather","sabrinacarpenter","pop","your signals are mixed 
you act like a BITCH a BITCH 
you fit every stereotype send a pic ",""
"yesand","arianagrande","pop","say that shit with your chest and 
be your own FUCKIN best friend 
say that shit with your chest ",""
"cantgetenough","jenniferlopez","pop","you know i cant get enough 
i love that SHIT 
you know i cant get enough ",""
"yesand","arianagrande","pop","yes and 
say that SHIT with your chest and 
be your own fuckin best friend ",""
"yesand","arianagrande","pop","be your own fuckin best friend be your own 
say that SHIT with your chest 
keep moving like whats next ",""
"stay","kidlaroi","pop","i feel like you cant feel the way i feel 
oh ill be FUCKED up if you cant be right here 
oh oohwhoa oh oohwhoa oohwhoa ",""
"aboutdamntime","lizzo","pop","its about damn time 
BITCH 
cause uh you know what time it is uh ",""
"aboutdamntime","lizzo","pop","anyway 
its bad BITCH oclock yeah its thickthirty 
ive been through a lot but im still flirty okay ",""
"cantgetenough","jenniferlopez","pop","you know i cant get enough 
give me all that SHIT 
cant get enough of you ",""
"cantgetenough","jenniferlopez","pop","you know i cant get enough 
i love that SHIT 
you know i cant get enough ",""
"rockstar","postmalone","hiphop"," 21 savage 
ive been in the hills FUCKIN superstars 
feelin like a popstar 21 21 21 ",""
"industrybaby","lilnasx","hiphop","tell a rap nigga i dont see ya ha 
ima pop NIGGA like bieber ha 
i dont fuck bitches im queer ha ",""
"iknow","travisscott","hiphop","its 5 am and im drunk right now 
tell me can we still FUCK FUCK that SHIT 
one of one im in the zone right now ",""
"redrum","21savage","hiphop","watch a half a million dollars and its plain pussy 
i dont go through tsa to get on planes PUSSY 
you get pussy without head then you lame pussy ",""
"worthit","offset","hiphop","you think im out fuckin around im in the studio yo 
its petty SHIT tellin your friends all the info 
now your heart cold fuck around buy you a mink coat ",""
"barbieworld","nickiminaj","hiphop","yeah i know the trick so i got him bricked damn 
yeah they know who lit me and barbie BITCH 
and im bad like the barbie barbie ",""
"everybody","nickiminaj","hiphop","we gon spin and kill everybody 
these BITCHES FUCK everybody 
a nigga tellin on everybody ",""
"richbabydaddy","drake","hiphop","girl im not stupid so dont play no stupid shit 
i swear poppin my SHIT come with consequences 
post nut clarity i came to my senses ",""
"houdini","eminem","hiphop","sometimes i wonder what the old med say 
if what if he could see the way SHIT is today 
look at this shit man hed probably say that everything is gay ",""
"fukumean","gunna","hiphop","fuck you mean 
FUCK you mean 
yeah ",""
"mood","24kgoldn","hiphop","why you always in a mood 
FUCKIN round actin brand new 
i aint tryna tell you what to do ",""
"barbieworld","nickiminaj","hiphop","like jazzie stacie nicki grrah 
all of the barbies is pretty DAMN 
all of the barbies is bad ",""
"lottery","missmulatto","hiphop","sip me like wine ima pop it like bubbly 
a BITCH this fine make it hard not to love me 
cause this aah can change your life alone ",""
"bigenergy","missmulatto","hiphop","not a side or a main 
im the only BITCH he entertain 
spendin his ",""
"everybody","nickiminaj","hiphop","got a young bitch like a nigga own belly dddont stop the beat dont stop the beat haha 
himalayan PUSSY worth way more than the cali dddont stop the beat dont stop haha 
good coochie worth way more than a what dont stop dont stop woah ",""
"paintthetownred","dojacat","hiphop","you cant talk no shit without penalties 
BITCH im in your SHIT if you send for me 
im goin to glow up one more time ",""
"cantholdus","macklemore","hiphop","but i do that to pass the torch and put on for my town 
trust me on my independent SHIT hustling 
chasing dreams since i was fourteen with the fourtrack bussing ",""
"richbabydaddy","drake","hiphop","bend that ass over ooh let that coochie breathe ooh 
shake that ASS BITCH ooh hands on your knees ooh 
hands on your knees all been there hands on your knees ",""
"notlikeus","kendricklamar","hiphop","certified lover boy certified pedophiles 
wop wop wop wop wop dot FUCK em up 
wop wop wop wop wop ima do my stuff ",""
"richbabydaddy","drake","hiphop","hands on your knees ho hands on your knees ow 
shake that ASS for drake yup now shake that ASS for me 
bend that ass over baow let that coochie breathe yeah ",""
